127.0.0.1 - - [15/Sep/2026 18:43:57] "HEAD / HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 18:44:28] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 18:44:29] "GET /js/db.js HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 18:44:29] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 18:44:29] "GET /js/ia_chat.js HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 18:44:29] "GET /js/oab_calculator.js HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 18:45:16] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 18:45:16] "GET /js/ia_chat.js HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 18:45:16] "GET /js/db.js HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 18:45:16] "GET /js/oab_calculator.js HTTP/1.1" 200 -
127.0.0.1 - - [15/Sep/2026 18:45:16] "GET /js/app.js HTTP/1.1" 200 -
